Username,Email,Name
Brio,feedback@brio.com.sg,Brio
MeatnChill,meatnchill@gmail.com,Meat n' Chill • Steak n' Ribs Restaurant
Caruso,info@caruso.sg,Caruso
Ajiya,hello@ajiya.com.sg,Ajiya Okonomiyaki Restaurant
LivingCafe,tlc@thelivingcafeasia.com,The Living Café
Foodrus,food-r-us@hotmail.com,Food R Us
Ycdining,ycdiningandbar@gmail.com,YC Dining & Bar | Western Restaurant Bar
Choupinette,Choupinettebukittimah@gmail.com,Choupinette
FatBelly,HELLO@FATBELLYSG.COM,Fat Belly (FBG)
LeRida,info@lerida.com.sg,Le Rida (Mediterranean. French. North Indian)
BabaC,babachews@ihg.com,Baba Chews
AlForno,contact@alfornoeastcoast.com.sg,Al Forno (East Coast) Pte Ltd
Burlamacco,info@burlamacco.com.sg,Burlamacco Ristorante East Coast
FiveStar,enquiries@fivestarchickenrice.com,Five Star Kampung Chicken Rice & Kitchen
BasilInn,faithliew@yahoo.com.sg,The Basil Inn
Eighteen,marketing@eighteenchefs.com,Eighteen Chefs Downtown East
Sakun,enquiry@sakunthalas.com,Sakunthala's Restaurant - Changi Outlet
YumCha,changi@yumcha.com.sg,Yum Cha Changi
Istimewa,istimewakitchen@gmail.com,Istimewa Kitchen (Bedok)
MerciMarcel,hello@mercimarcelgroup.com,Merci Marcel East Coast
Whitegrass,reservations@whitegrass.com.sg,Whitegrass Restaurant
SQUE,info@sque.com.sg,SQUE Rotisserie & Alehouse
FOC,reservations@focrestaurant.com,FOC Restaurant
KimchiDining,kimchidining@gmail.com,Kimchi Dining | Korean Restaurant Singapore
BlueJasmine,info.sinli@ihg.com,"Blue Jasmine, Singapore"
Maccha,asia.createrestaurants.com,Maccha House @ Orchard Central
EmOi,Emoisg.vietnameserestaurant@gmail.com,Em Oi - Em Oiiiiiiii Vietnamese Restaurant
ZamZam,enquiries@zamzam.sg,Singapore Zam Zam Restaurant
Manzoku,enquiries@yoigroup.com.sg,Manzoku Sake Bar by Yoi Group
Tatsu,tatsu@tatsu.com.sg,Tatsu
Takagi,feedback@takagiramen.com,Takagi Ramen @ Yishun
Woody,events@woodyfamilycafe.com.sg,Woody Family Cafe
Citrus,enquiry@citrusbythepool.com,Citrus By The Pool
DXE,feedback@dianxiaoer.com.sg,Dian Xiao Er
Hainan,marketingbaoshi@gmail.com,The Hainan Story Coffee House (Northpoint City)
FishnCo,feedback@fish-co.com,Fish & Co @ Causeway Point
BaliThai,feedback@katrinagroup.com,Bali Thai (Causeway Point)
TSF,thailandstreetfoodsg@gmail.com,Thailand Street Food
TokyoSHO,corporate@jfh.com.sg,Tokyo Shokudo
WhiteRnt,franchise@whiterestaurant.com.sg,White Restaurant (Jalan Tampang)
Brotzeit,info@brotzeit.co,Brotzeit German Beer Bar and Restaurant - VivoCity
Poulet,feedback.poulet@poulet.com.sg,Poulet - VivoCity
Marche,vivocity@marche-int.com,Marché Mövenpick VivoCity
TheQnM,enquiries@queenandmangosteen.com,The Queen & Mangosteen
SushiGO,contactus@res.com.sg,Sushi-GO (Vivo City)
SoPho,feedback@katrinagroup.com,So Pho (Vivo City)
WineConnection,nicholasgoh.2022@scis.smu.edu.sg,Wine Connection Bistro (VivoCity)
Bornga,sg.bornga@gmail.com,Bornga Singapore @ VivoCity
Syo,bulgogisyo@seoraesin.com,Bulgogi Syo (VivoCity)
Prive,info@prive.com.sg,Privé @ Keppel Bay
